2024-04-10T17:22:27.961381+00:00;P1;362
2024-04-10T17:22:28.222478+00:00;P2;610
2024-04-10T17:22:28.492310+00:00;P3;262
2024-04-10T17:22:28.789827+00:00;P4;140
2024-04-10T17:22:29.080440+00:00;P5;536
2024-04-10T17:22:29.551115+00:00;P6;112
2024-04-10T17:24:02.693408+00:00;P1;363
2024-04-10T17:24:03.157057+00:00;P2;610
2024-04-10T17:24:03.621032+00:00;P3;262
2024-04-10T17:24:04.066751+00:00;P4;140
2024-04-10T17:24:04.392077+00:00;P5;537
2024-04-10T17:24:04.725888+00:00;P6;112
2024-04-10T17:27:02.883950+00:00;P1;362
2024-04-10T17:27:03.624497+00:00;P2;613
2024-04-10T17:27:04.205984+00:00;P3;262
2024-04-10T17:27:04.639850+00:00;P4;135
2024-04-10T17:27:05.069222+00:00;P5;539
2024-04-10T17:27:05.430317+00:00;P6;112
2024-04-10T17:30:02.720461+00:00;P1;361
2024-04-10T17:30:04.824394+00:00;P2;611
2024-04-10T17:30:05.576683+00:00;P3;262
2024-04-10T17:30:06.470942+00:00;P4;133
2024-04-10T17:30:07.045194+00:00;P5;539
2024-04-10T17:30:07.630082+00:00;P6;111
2024-04-10T17:33:02.245630+00:00;P1;360
2024-04-10T17:33:02.600258+00:00;P2;614
2024-04-10T17:33:02.992169+00:00;P3;262
2024-04-10T17:33:03.355998+00:00;P4;132
2024-04-10T17:33:03.667617+00:00;P5;539
2024-04-10T17:33:04.119472+00:00;P6;110
2024-04-10T17:36:01.776732+00:00;P1;361
2024-04-10T17:36:02.222218+00:00;P2;614
2024-04-10T17:36:02.637770+00:00;P3;262
2024-04-10T17:36:02.999770+00:00;P4;133
2024-04-10T17:36:03.321934+00:00;P5;540
2024-04-10T17:36:03.638033+00:00;P6;110
2024-04-10T17:39:02.620320+00:00;P1;362
2024-04-10T17:39:03.002934+00:00;P2;615
2024-04-10T17:39:03.468531+00:00;P3;262
2024-04-10T17:39:03.918589+00:00;P4;135
2024-04-10T17:39:04.264816+00:00;P5;539
2024-04-10T17:39:04.611131+00:00;P6;110
2024-04-10T17:42:01.667664+00:00;P1;361
2024-04-10T17:42:02.308601+00:00;P2;616
2024-04-10T17:42:02.655358+00:00;P3;262
2024-04-10T17:42:03.119094+00:00;P4;135
2024-04-10T17:42:03.535724+00:00;P5;539
